address,eth_balance,total_txs,sent_txs,received_txs,sent_to_contract_txs,received_from_contract_txs,external_txs,internal_txs
0x0000000000000000000000000000000000000000,14123.629966115408,1,0,1,0,0,1,0
0x00000000000000000000000000000000000face7,0.2072769902620613,6,0,6,0,0,6,0
0x000000000000003607fce1ac9e043a86675c5c2f,0.0,2,0,2,0,0,2,0
0x0000000000000068f116a894984e2db1123eb395,0.0,190,0,190,0,0,190,0
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0.0,1,0,1,0,0,1,0
0x00000000000000cf9e3c5a26621af382fa17f24f,0.0,2,0,2,0,0,2,0
0x000000000000040470635eb91b7ce4d132d616ed,19.209688839546622,1,0,1,0,0,1,0
0x0000000000000792b907283999351c9587689a82,0.4617895150823298,13,13,0,13,0,13,0
0x00000000000008882d72efa6cce4b6a40b24c860,65.64488681228079,1,0,1,0,0,1,0
0x0000000000001ff3684f28c67538d4d072c22734,0.0,602,0,602,0,0,602,0
0x00000000000030e5959659622cb7eb50aa20ee52,0.5648807323923501,1,1,0,1,0,1,0
0x00000000000058607f45dd7535ebd9f44ef3766d,0.0,5,0,5,0,0,5,0
0x0000000000008359421a71a3d1f8c72921c8504d,0.4848760783335009,2,2,0,2,0,2,0
0x00000000000124d994209fbb955e0217b5c2eca1,0.7632750962196294,2,2,0,2,0,2,0
0x000000000022d473030f116ddee9f6b43ac78ba3,0.0,6,0,6,0,0,6,0
0x000000000035b5e5ad9019092c665357240f594e,27.523128127533486,4,0,4,0,0,4,0
0x00000000003b3cc22af3ae1eac0440bcee416b40,0.0,8,0,8,0,0,8,0
0x000000000040407075c8baae000050278b3d9a27,0.0,1,0,1,0,0,1,0
0x0000000000675d852c8638df2f227949052b1208,0.14311815052587412,1,1,0,0,0,1,0
0x000000000077ee1fcfe351df1ff22736e995806b,0.0,1,0,1,0,0,1,0
0x00000000009726632680fb29d3f7a9734e3010e2,0.14409576268325192,6,0,6,0,0,6,0
0x00000000009991e374a1628e3b2f60991bc26da4,0.0,1,0,1,0,0,1,0
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0.09142464211491023,30,0,30,0,0,30,0
0x0000000000a39bb272e79075ade125fd351887ac,11291.865698718892,18,0,18,0,0,18,0
0x0000000000c2d145a2526bd8c716263bfebe1a72,0.0,17,0,17,0,0,17,0
0x0000000000c5dc95539589fbd24be07c6c14eca4,0.0,17,0,17,0,0,17,0
0x0000000000efa780a8e6f50fc5de9c1497bfd175,2.456261183269e-06,15,0,15,0,0,15,0
0x00000000051b48047be6dc0ada6de5c3de86a588,0.09378453000000123,1,0,1,0,0,1,0
0x000000002a634f97eef66251b538046514d94f4a,0.6515292256747259,9,9,0,9,0,9,0
0x0000000038f050528452d6da1e7aacfa7b3ec0a8,0.00392100001,1,0,1,0,0,1,0
0x000000004685666c7653cc148f566f0511901b37,0.0,2,0,2,0,0,2,0
0x000000004ab03b268bce6126cb6dc55b3b2471df,0.0,2,0,2,0,0,2,0
0x0000000071727de22e5e9d8baf0edac6f37da032,112.75121677642156,71,0,71,0,0,71,0
0x000000007d905ab8199381328c3fb0a75754b6af,4.61938029e-06,10,8,2,7,0,10,0
0x000000009368119d68ad946330e56a947018572d,4.555e-15,2,0,2,0,0,2,0
0x00000000ddcbe18ca6a73d4476178bf7b42f5913,1.10775726803468,1,1,0,1,0,1,0
0x00000000ecfb25b63e2bc620a08e2c0272c551d8,2.206287514957e-06,1,0,1,0,0,1,0
0x00000000ede6d8d217c60f93191c060747324bca,0.0,3,0,3,0,0,3,0
0x00000000efe883b3304aff71eacf72dbc3e1b577,0.0,1,0,1,0,0,1,0
0x00000001a9b1144334e736f567a955ab4d2e6e21,0.0,3,0,3,0,0,3,0
0x0000000aa232009084bd71a5797d089aa4edfad4,0.0,48,0,48,0,0,48,0
0x00000011f84b9aa48e5f8aa8b9897600006289be,0.0,9,0,9,0,0,9,0
0x00000027f490acee7f11ab5fdd47209d6422c5a7,6.710440155551441,22,22,0,22,0,22,0
